1789148290.753567 bond0 B   ifindex 5 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.22 tell 192.168.100.31, length 46
1789148290.754497 ens19 B   ifindex 3 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.21 tell 192.168.100.31, length 46
1789148290.754497 bond0 B   ifindex 5 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.21 tell 192.168.100.31, length 46
1789148291.163142 bond0 Out ifindex 5 02:00:00:00:01:1e ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.12 tell 192.168.100.30, length 28
1789148291.163142 bond0 Out ifindex 5 02:00:00:00:01:1e ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.11 tell 192.168.100.30, length 28
1789148291.163152 ens19 Out ifindex 3 02:00:00:00:01:1e ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.12 tell 192.168.100.30, length 28
1789148291.163157 bond0 Out ifindex 5 02:00:00:00:01:1e ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.10 tell 192.168.100.30, length 28
1789148291.163168 ens19 Out ifindex 3 02:00:00:00:01:1e ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.11 tell 192.168.100.30, length 28
1789148291.163169 ens19 Out ifindex 3 02:00:00:00:01:1e ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.10 tell 192.168.100.30, length 28
1789148291.201332 ens19 B   ifindex 3 02:00:00:00:01:20 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.11 tell 192.168.100.32, length 46
1789148291.201332 bond0 B   ifindex 5 02:00:00:00:01:20 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.11 tell 192.168.100.32, length 46
1789148291.202675 ens19 B   ifindex 3 02:00:00:00:01:20 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.12 tell 192.168.100.32, length 46
1789148291.202675 bond0 B   ifindex 5 02:00:00:00:01:20 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.12 tell 192.168.100.32, length 46
1789148291.258383 ens19 B   ifindex 3 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.10 tell 192.168.100.31, length 46
1789148291.258383 bond0 B   ifindex 5 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.10 tell 192.168.100.31, length 46
